Subject,Date,Session,Trial,Condition
Pick,Oct 19 '22,6,2,Refresher
Pick,Oct 19 '22,6,3,Refresher
Pick,Oct 19 '22,6,4,Non-functional
Pick,Oct 19 '22,6,5,Functional
Pick,Oct 21 '22,7,1,Refresher
Pick,Oct 21 '22,7,2,Refresher
Pick,Oct 21 '22,7,3,Refresher
Pick,Oct 21 '22,7,4,Functional
Pick,Oct 21 '22,7,5,Non-functional
Pick,Oct 25 '22,8,1,Refresher
Pick,Oct 25 '22,8,2,Refresher
Pick,Oct 25 '22,8,3,Refresher
Pick,Oct 25 '22,8,4,Functional
Pick,Oct 25 '22,8,5,Non-functional
Plume,Oct 28 '22,1,1,Refresher
Plume,Oct 28 '22,1,2,Refresher
Plume,Oct 28 '22,1,3,Refresher
Plume,Oct 28 '22,1,4,Functional
Plume,Oct 28 '22,1,5,Non-functional
Plume,Nov 2 '22,2,1,Refresher
Plume,Nov 2 '22,2,2,Refresher
Plume,Nov 2 '22,2,3,Refresher
Plume,Nov 2 '22,2,4,Non-functional
Plume,Nov 2 '22,2,5,Functional
Plume,Nov 8 '22,3,1,Refresher
Plume,Nov 8 '22,3,2,Refresher
Plume,Nov 8 '22,3,3,Refresher
Plume,Nov 8 '22,3,4,Functional
Plume,Nov 8 '22,3,5,Non-functional
Plume,Nov 10 '22,4,1,Refresher
Plume,Nov 10 '22,4,2,Refresher
Plume,Nov 10 '22,4,3,Refresher
Plume,Nov 10 '22,4,4,Functional
Plume,Nov 10 '22,4,5,Non-functional
Plume,Nov 15 '22,5,1,Refresher
Plume,Nov 15 '22,5,2,Refresher
Plume,Nov 15 '22,5,3,Refresher
Plume,Nov 15 '22,5,4,Non-functional
Plume,Nov 15 '22,5,5,Functional
Plume,Nov 17 '22,6,1,Refresher
Plume,Nov 17 '22,6,2,Refresher
Plume,Nov 17 '22,6,3,Refresher
Plume,Nov 17 '22,6,4,Non-functional
Plume,Nov 17 '22,6,5,Functional
Plume,Nov 22 '22,7,1,Refresher
Plume,Nov 22 '22,7,2,Refresher
Plume,Nov 22 '22,7,3,Refresher
Plume,Nov 22 '22,7,4,Functional
Plume,Nov 22 '22,7,5,Non-functional
Plume,Nov 25 '22,8,1,Refresher
Plume,Nov 25 '22,8,2,Refresher
Plume,Nov 25 '22,8,3,Refresher
Plume,Nov 25 '22,8,4,Non-functional
Plume,Nov 25 '22,8,5,Functional
Roku,Oct 4 '22,1,1,Refresher
Roku,Oct 4 '22,1,2,Refresher
Roku,Oct 4 '22,1,3,Refresher
Roku,Oct 4 '22,1,4,Non-functional
Roku,Oct 4 '22,1,5,Functional
Roku,Oct 7 '22,2,1,Refresher
Roku,Oct 7 '22,2,2,Refresher
Roku,Oct 7 '22,2,3,Refresher
Roku,Oct 7 '22,2,4,Functional
Roku,Oct 7 '22,2,5,Non-functional
Roku,Oct 11 '22,3,1,Refresher
Roku,Oct 11 '22,3,2,Refresher
Roku,Oct 11 '22,3,3,Refresher
Roku,Oct 11 '22,3,4,Functional
Roku,Oct 11 '22,3,5,Non-functional
Roku,Oct 14 '22,4,1,Refresher
Roku,Oct 14 '22,4,2,Refresher
Roku,Oct 14 '22,4,3,Refresher
Roku,Oct 14 '22,4,4,Functional
Roku,Oct 14 '22,4,5,Non-functional
Roku,Oct 19 '22,5,1,Refresher
Roku,Oct 19 '22,5,2,Refresher
Roku,Oct 19 '22,5,3,Refresher
Roku,Oct 19 '22,5,4,Non-functional
Roku,Oct 19 '22,5,5,Functional
Roku,Oct 21 '22,6,1,Refresher
Roku,Oct 21 '22,6,2,Refresher
Roku,Oct 21 '22,6,3,Refresher
Roku,Oct 21 '22,6,4,Non-functional
Roku,Oct 21 '22,6,5,Functional
Roku,Oct 25 '22,7,1,Refresher
Roku,Oct 25 '22,7,2,Refresher
Roku,Oct 25 '22,7,3,Refresher
Roku,Oct 25 '22,7,4,Functional
Roku,Oct 25 '22,7,5,Non-functional
Roku,Oct 28 '22,8,1,Refresher
Roku,Oct 28 '22,8,2,Refresher
Roku,Oct 28 '22,8,3,Refresher
Roku,Oct 28 '22,8,4,Non-functional
Roku,Oct 28 '22,8,5,Functional
Skipper,Oct 11 '22,1,1,Refresher
Skipper,Oct 11 '22,1,2,Refresher
Skipper,Oct 11 '22,1,3,Refresher
Skipper,Oct 11 '22,1,4,Functional
Skipper,Oct 11 '22,1,5,Non-functional
Skipper,Oct 14 '22,2,1,Refresher
Skipper,Oct 14 '22,2,2,Refresher
Skipper,Oct 14 '22,2,3,Refresher
Skipper,Oct 14 '22,2,4,Non-functional
Skipper,Oct 14 '22,2,5,Functional
Skipper,Oct 19 '22,3,1,Refresher
Skipper,Oct 19 '22,3,2,Refresher
Skipper,Oct 19 '22,3,3,Refresher
Skipper,Oct 19 '22,3,4,Non-functional
Skipper,Oct 19 '22,3,5,Functional
Skipper,Oct 21 '22,4,1,Refresher
Skipper,Oct 21 '22,4,2,Refresher
Skipper,Oct 21 '22,4,3,Refresher
Skipper,Oct 21 '22,4,4,Functional
Skipper,Oct 21 '22,4,5,Non-functional
Skipper,Oct 25 '22,5,1,Refresher
Skipper,Oct 25 '22,5,2,Refresher
Skipper,Oct 25 '22,5,3,Refresher
Skipper,Oct 25 '22,5,4,Non-functional
Skipper,Oct 25 '22,5,5,Functional
Skipper,Oct 28 '22,6,1,Refresher
Skipper,Oct 28 '22,6,2,Refresher
Skipper,Oct 28 '22,6,3,Refresher
Skipper,Oct 28 '22,6,4,Functional
Skipper,Oct 28 '22,6,5,Non-functional
Skipper,Nov 2 '22,7,1,Refresher
Skipper,Nov 2 '22,7,2,Refresher
Skipper,Nov 2 '22,7,3,Refresher
Skipper,Nov 2 '22,7,4,Non-functional
Skipper,Nov 2 '22,7,5,Functional
Skipper,Nov 8 '22,8,1,Refresher
Skipper,Nov 8 '22,8,2,Refresher
Skipper,Nov 8 '22,8,3,Refresher
Skipper,Nov 8 '22,8,4,Functional
Skipper,Nov 8 '22,8,5,Non-functional
Sunny,Nov 2 '22,1,1,Refresher
Sunny,Nov 2 '22,1,2,Refresher
Sunny,Nov 2 '22,1,3,Refresher
Sunny,Nov 2 '22,1,4,Non-functional
Sunny,Nov 2 '22,1,5,Functional
Sunny,Nov 8 '22,2,1,Refresher
Sunny,Nov 8 '22,2,2,Refresher
Sunny,Nov 8 '22,2,3,Refresher
Sunny,Nov 8 '22,2,4,Functional
Sunny,Nov 8 '22,2,5,Non-functional
Sunny,Nov 10 '22,3,1,Refresher
Sunny,Nov 10 '22,3,2,Refresher
Sunny,Nov 10 '22,3,3,Refresher
Sunny,Nov 10 '22,3,4,Non-functional
Sunny,Nov 10 '22,3,5,Functional
Sunny,Nov 15 '22,4,1,Refresher
Sunny,Nov 15 '22,4,2,Refresher
Sunny,Nov 15 '22,4,3,Refresher
Sunny,Nov 15 '22,4,4,Functional
